human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000215912,NA,NA,TTC34,protein_coding,tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297],TTC34
ENSG00000130762,NA,NA,ARHGEF16,protein_coding,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515],ARHGEF16
ENSG00000162591,NA,NA,MEGF6,protein_coding,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],MEGF6
ENSG00000116213,NA,NA,WRAP73,protein_coding,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]",WRAP73
ENSG00000130764,ENSG00000130764,NA,LRRC47,protein_coding,leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207],LRRC47
ENSG00000169598,NA,NA,DFFB,protein_coding,DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773],DFFB
ENSG00000069424,NA,NA,KCNAB2,protein_coding,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229],KCNAB2
ENSG00000116251,NA,NA,RPL22,protein_coding,ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315],RPL22
ENSG00000158292,NA,NA,GPR153,protein_coding,G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618],GPR153
ENSG00000204859,NA,NA,ZBTB48,protein_coding,zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930],ZBTB48
ENSG00000116273,NA,NA,PHF13,protein_coding,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983],PHF13
ENSG00000142583,NA,NA,SLC2A5,protein_coding,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010],SLC2A5
ENSG00000180758,NA,NA,GPR157,protein_coding,G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687],GPR157
ENSG00000171603,NA,NA,CLSTN1,protein_coding,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447],CLSTN1
ENSG00000178585,NA,NA,CTNNBIP1,protein_coding,catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913],CTNNBIP1
ENSG00000054523,NA,NA,KIF1B,protein_coding,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],KIF1B
ENSG00000130940,NA,NA,CASZ1,protein_coding,castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002],CASZ1
ENSG00000277726,NA,NA,AL109811.4,protein_coding,novel protein,AL109811.4
ENSG00000162490,NA,ENSG00000162490,DRAXIN,protein_coding,dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054],DRAXIN
ENSG00000116688,NA,NA,MFN2,protein_coding,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877],MFN2
ENSG00000188984,NA,NA,AADACL3,protein_coding,arylacetamide deacetylase like 3 [Source:HGNC Symbol;Acc:HGNC:32037],AADACL3
ENSG00000279169,ENSG00000279169,NA,PRAMEF13,protein_coding,PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262],PRAMEF13
ENSG00000189337,NA,NA,KAZN,protein_coding,"kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]",KAZN
ENSG00000132906,ENSG00000132906,NA,CASP9,protein_coding,caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511],CASP9
ENSG00000116771,NA,NA,AGMAT,protein_coding,agmatinase [Source:HGNC Symbol;Acc:HGNC:18407],AGMAT
ENSG00000197312,NA,NA,DDI2,protein_coding,DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578],DDI2
ENSG00000037637,NA,NA,FBXO42,protein_coding,F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249],FBXO42
ENSG00000255275,NA,NA,AL080251.1,protein_coding,novel transcript,AL080251.1
ENSG00000173436,NA,NA,MINOS1,protein_coding,mitochondrial inner membrane organizing system 1 [Source:HGNC Symbol;Acc:HGNC:32068],MINOS1
ENSG00000127472,NA,NA,PLA2G5,protein_coding,phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038],PLA2G5
ENSG00000187942,NA,NA,LDLRAD2,protein_coding,low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071],LDLRAD2
ENSG00000285721,NA,NA,AL031281.2,protein_coding,"novel protein, identical to cell division cycle 42 (GTP binding protein, 25kDa) CDC42",AL031281.2
ENSG00000070831,NA,NA,CDC42,protein_coding,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],CDC42
ENSG00000125945,ENSG00000125945,NA,ZNF436,protein_coding,zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814],ZNF436
ENSG00000088280,NA,NA,ASAP3,protein_coding,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]",ASAP3
ENSG00000001460,NA,NA,STPG1,protein_coding,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],STPG1
ENSG00000020633,ENSG00000020633,NA,RUNX3,protein_coding,runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473],RUNX3
ENSG00000157978,ENSG00000157978,NA,LDLRAP1,protein_coding,low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640],LDLRAP1
ENSG00000117643,NA,NA,MAN1C1,protein_coding,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080],MAN1C1
ENSG00000158006,NA,NA,PAFAH2,protein_coding,platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579],PAFAH2
ENSG00000158014,NA,NA,SLC30A2,protein_coding,solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013],SLC30A2
ENSG00000158062,ENSG00000158062,NA,UBXN11,protein_coding,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600],UBXN11
ENSG00000117682,ENSG00000117682,NA,DHDDS,protein_coding,dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603],DHDDS
ENSG00000117676,NA,NA,RPS6KA1,protein_coding,ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430],RPS6KA1
ENSG00000142751,NA,NA,GPN2,protein_coding,GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:HGNC:25513],GPN2
ENSG00000131910,NA,NA,NR0B2,protein_coding,nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961],NR0B2
ENSG00000158246,NA,NA,TENT5B,protein_coding,terminal nucleotidyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:28273],TENT5B
ENSG00000090020,NA,NA,SLC9A1,protein_coding,solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071],SLC9A1
ENSG00000158195,ENSG00000158195,NA,WASF2,protein_coding,WAS protein family member 2 [Source:HGNC Symbol;Acc:HGNC:12733],WASF2
ENSG00000204138,NA,NA,PHACTR4,protein_coding,phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793],PHACTR4
ENSG00000162419,ENSG00000162419,NA,GMEB1,protein_coding,glucocorticoid modulatory element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4370],GMEB1
ENSG00000116329,ENSG00000116329,ENSG00000116329,OPRD1,protein_coding,opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153],OPRD1
ENSG00000253304,ENSG00000253304,NA,TMEM200B,protein_coding,transmembrane protein 200B [Source:HGNC Symbol;Acc:HGNC:33785],TMEM200B
ENSG00000134668,NA,NA,SPOCD1,protein_coding,SPOC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26338],SPOCD1
ENSG00000084652,ENSG00000084652,NA,TXLNA,protein_coding,taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685],TXLNA
ENSG00000116478,NA,ENSG00000116478,HDAC1,protein_coding,histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852],HDAC1
ENSG00000273274,ENSG00000273274,NA,ZBTB8B,protein_coding,zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:HGNC:37057],ZBTB8B
ENSG00000160062,ENSG00000160062,NA,ZBTB8A,protein_coding,zinc finger and BTB domain containing 8A [Source:HGNC Symbol;Acc:HGNC:24172],ZBTB8A
ENSG00000162521,NA,NA,RBBP4,protein_coding,"RB binding protein 4, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9887]",RBBP4
ENSG00000142920,NA,NA,AZIN2,protein_coding,antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957],AZIN2
ENSG00000121903,NA,NA,ZSCAN20,protein_coding,zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13093],ZSCAN20
ENSG00000121904,NA,NA,CSMD2,protein_coding,CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:HGNC:19290],CSMD2
ENSG00000189280,NA,NA,GJB5,protein_coding,gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287],GJB5
ENSG00000189433,NA,NA,GJB4,protein_coding,gap junction protein beta 4 [Source:HGNC Symbol;Acc:HGNC:4286],GJB4
ENSG00000134698,NA,NA,AGO4,protein_coding,"argonaute 4, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18424]",AGO4
ENSG00000092847,NA,NA,AGO1,protein_coding,"argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]",AGO1
ENSG00000054118,NA,ENSG00000054118,THRAP3,protein_coding,thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964],THRAP3
ENSG00000163873,ENSG00000163873,NA,GRIK3,protein_coding,glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581],GRIK3
ENSG00000197982,ENSG00000197982,NA,C1orf122,protein_coding,chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789],C1orf122
ENSG00000188786,ENSG00000188786,NA,MTF1,protein_coding,metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428],MTF1
ENSG00000084072,NA,NA,PPIE,protein_coding,peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258],PPIE
ENSG00000116985,NA,NA,BMP8B,protein_coding,bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:HGNC:1075],BMP8B
ENSG00000117016,ENSG00000117016,NA,RIMS3,protein_coding,regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292],RIMS3
ENSG00000198815,ENSG00000198815,NA,FOXJ3,protein_coding,forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178],FOXJ3
ENSG00000177181,ENSG00000177181,NA,RIMKLA,protein_coding,ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725],RIMKLA
ENSG00000164007,NA,NA,CLDN19,protein_coding,claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040],CLDN19
ENSG00000177868,ENSG00000177868,NA,SVBP,protein_coding,small vasohibin binding protein [Source:HGNC Symbol;Acc:HGNC:29204],SVBP
ENSG00000117394,NA,NA,SLC2A1,protein_coding,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005],SLC2A1
ENSG00000243710,NA,NA,CFAP57,protein_coding,cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485],CFAP57
ENSG00000198198,ENSG00000198198,NA,SZT2,protein_coding,"SZT2, KICSTOR complex subunit [Source:HGNC Symbol;Acc:HGNC:29040]",SZT2
ENSG00000142949,NA,NA,PTPRF,protein_coding,"protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]",PTPRF
ENSG00000284989,NA,NA,AL451062.3,protein_coding,novel transcript,AL451062.3
ENSG00000126091,ENSG00000126091,ENSG00000126091,ST3GAL3,protein_coding,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]",ST3GAL3
ENSG00000117410,NA,NA,ATP6V0B,protein_coding,ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861],ATP6V0B
ENSG00000159588,NA,NA,CCDC17,protein_coding,coiled-coil domain containing 17 [Source:HGNC Symbol;Acc:HGNC:26574],CCDC17
ENSG00000159592,ENSG00000159592,NA,GPBP1L1,protein_coding,GC-rich promoter binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28843],GPBP1L1
ENSG00000086015,NA,ENSG00000086015,MAST2,protein_coding,microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035],MAST2
ENSG00000117461,NA,NA,PIK3R3,protein_coding,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981],PIK3R3
ENSG00000085999,NA,NA,RAD54L,protein_coding,RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826],RAD54L
ENSG00000132122,NA,NA,SPATA6,protein_coding,spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309],SPATA6
ENSG00000174332,NA,NA,GLIS1,protein_coding,GLIS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:29525],GLIS1
ENSG00000162390,NA,NA,ACOT11,protein_coding,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],ACOT11
ENSG00000116133,NA,NA,DHCR24,protein_coding,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859],DHCR24
ENSG00000162409,ENSG00000162409,NA,PRKAA2,protein_coding,protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377],PRKAA2
ENSG00000162601,ENSG00000162601,NA,MYSM1,protein_coding,"Myb like, SWIRM and MPN domains 1 [Source:HGNC Symbol;Acc:HGNC:29401]",MYSM1
ENSG00000088035,NA,NA,ALG6,protein_coding,"ALG6, alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]",ALG6
ENSG00000116678,ENSG00000116678,NA,LEPR,protein_coding,leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554],LEPR
ENSG00000152760,ENSG00000152760,NA,TCTEX1D1,protein_coding,Tctex1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26882],TCTEX1D1
ENSG00000152763,ENSG00000152763,NA,WDR78,protein_coding,WD repeat domain 78 [Source:HGNC Symbol;Acc:HGNC:26252],WDR78
ENSG00000142864,NA,NA,SERBP1,protein_coding,SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860],SERBP1
ENSG00000116717,NA,NA,GADD45A,protein_coding,growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095],GADD45A
ENSG00000116729,ENSG00000116729,NA,WLS,protein_coding,wntless Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238],WLS
ENSG00000137959,ENSG00000137959,ENSG00000137959,IFI44L,protein_coding,interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817],IFI44L
ENSG00000142875,NA,NA,PRKACB,protein_coding,protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381],PRKACB
ENSG00000117151,NA,NA,CTBS,protein_coding,chitobiase [Source:HGNC Symbol;Acc:HGNC:2496],CTBS
ENSG00000117155,NA,NA,SSX2IP,protein_coding,SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509],SSX2IP
ENSG00000171517,NA,NA,LPAR3,protein_coding,lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298],LPAR3
ENSG00000055732,NA,NA,MCOLN3,protein_coding,mucolipin 3 [Source:HGNC Symbol;Acc:HGNC:13358],MCOLN3
ENSG00000117174,NA,NA,ZNHIT6,protein_coding,zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089],ZNHIT6
ENSG00000122417,NA,NA,ODF2L,protein_coding,outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225],ODF2L
ENSG00000137975,NA,NA,CLCA2,protein_coding,chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016],CLCA2
ENSG00000117226,NA,NA,GBP3,protein_coding,guanylate binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4184],GBP3
ENSG00000162664,NA,NA,ZNF326,protein_coding,zinc finger protein 326 [Source:HGNC Symbol;Acc:HGNC:14104],ZNF326
ENSG00000122484,NA,NA,RPAP2,protein_coding,RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791],RPAP2
ENSG00000154511,NA,NA,FAM69A,protein_coding,family with sequence similarity 69 member A [Source:HGNC Symbol;Acc:HGNC:32213],FAM69A
ENSG00000117505,NA,NA,DR1,protein_coding,down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017],DR1
ENSG00000117600,ENSG00000117600,NA,PLPPR4,protein_coding,phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496],PLPPR4
ENSG00000117620,NA,ENSG00000117620,SLC35A3,protein_coding,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023],SLC35A3
ENSG00000079335,NA,NA,CDC14A,protein_coding,cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718],CDC14A
ENSG00000162695,NA,NA,SLC30A7,protein_coding,solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306],SLC30A7
ENSG00000060718,ENSG00000060718,NA,COL11A1,protein_coding,collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186],COL11A1
ENSG00000198890,NA,NA,PRMT6,protein_coding,protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241],PRMT6
ENSG00000162636,NA,NA,FAM102B,protein_coding,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637],FAM102B
ENSG00000162641,NA,NA,AKNAD1,protein_coding,AKNA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28398],AKNAD1
ENSG00000134243,NA,ENSG00000134243,SORT1,protein_coding,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186],SORT1
ENSG00000162650,NA,NA,ATXN7L2,protein_coding,ataxin 7 like 2 [Source:HGNC Symbol;Acc:HGNC:28713],ATXN7L2
ENSG00000181754,NA,NA,AMIGO1,protein_coding,adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824],AMIGO1
ENSG00000065135,NA,NA,GNAI3,protein_coding,G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387],GNAI3
ENSG00000213366,NA,NA,GSTM2,protein_coding,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634],GSTM2
ENSG00000116396,NA,NA,KCNC4,protein_coding,potassium voltage-gated channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:6236],KCNC4
ENSG00000143125,NA,NA,PROK1,protein_coding,prokineticin 1 [Source:HGNC Symbol;Acc:HGNC:18454],PROK1
ENSG00000116473,NA,NA,RAP1A,protein_coding,"RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]",RAP1A
ENSG00000134242,NA,NA,PTPN22,protein_coding,"protein tyrosine phosphatase, non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]",PTPN22
ENSG00000173218,NA,NA,VANGL1,protein_coding,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512],VANGL1
ENSG00000163393,NA,NA,SLC22A15,protein_coding,solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301],SLC22A15
ENSG00000116830,NA,NA,TTF2,protein_coding,transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:12398],TTF2
ENSG00000065183,NA,NA,WDR3,protein_coding,WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755],WDR3
ENSG00000092607,NA,NA,TBX15,protein_coding,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594],TBX15
ENSG00000265491,NA,NA,RNF115,protein_coding,ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154],RNF115
ENSG00000131791,NA,NA,PRKAB2,protein_coding,protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379],PRKAB2
ENSG00000265107,ENSG00000265107,ENSG00000265107,GJA5,protein_coding,gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279],GJA5
ENSG00000270882,NA,NA,HIST2H4A,protein_coding,histone cluster 2 H4 family member a [Source:HGNC Symbol;Acc:HGNC:4794],HIST2H4A
ENSG00000270276,ENSG00000270276,NA,HIST2H4B,protein_coding,histone cluster 2 H4 family member b [Source:HGNC Symbol;Acc:HGNC:29607],HIST2H4B
ENSG00000283324,NA,NA,CTXND2,protein_coding,cortexin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:53440],CTXND2
ENSG00000143373,ENSG00000143373,NA,ZNF687,protein_coding,zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277],ZNF687
ENSG00000159445,NA,NA,THEM4,protein_coding,thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947],THEM4
ENSG00000159450,NA,NA,TCHH,protein_coding,trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791],TCHH
ENSG00000215853,NA,NA,RPTN,protein_coding,repetin [Source:HGNC Symbol;Acc:HGNC:26809],RPTN
ENSG00000184330,NA,NA,S100A7A,protein_coding,S100 calcium binding protein A7A [Source:HGNC Symbol;Acc:HGNC:21657],S100A7A
ENSG00000143624,NA,NA,INTS3,protein_coding,integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153],INTS3
ENSG00000198837,NA,NA,DENND4B,protein_coding,DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044],DENND4B
ENSG00000143515,NA,NA,ATP8B2,protein_coding,ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534],ATP8B2
ENSG00000169291,NA,NA,SHE,protein_coding,Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004],SHE
ENSG00000143603,NA,NA,KCNN3,protein_coding,potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292],KCNN3
ENSG00000125459,NA,NA,MSTO1,protein_coding,"misato 1, mitochondrial distribution and morphology regulator [Source:HGNC Symbol;Acc:HGNC:29678]",MSTO1
ENSG00000163374,NA,NA,YY1AP1,protein_coding,YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935],YY1AP1
ENSG00000160803,NA,ENSG00000160803,UBQLN4,protein_coding,ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237],UBQLN4
ENSG00000160785,NA,NA,SLC25A44,protein_coding,solute carrier family 25 member 44 [Source:HGNC Symbol;Acc:HGNC:29036],SLC25A44
ENSG00000163472,ENSG00000163472,NA,TMEM79,protein_coding,transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196],TMEM79
ENSG00000116604,ENSG00000116604,NA,MEF2D,protein_coding,myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997],MEF2D
ENSG00000183856,NA,NA,IQGAP3,protein_coding,IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669],IQGAP3
ENSG00000117036,NA,NA,ETV3,protein_coding,ETS variant 3 [Source:HGNC Symbol;Acc:HGNC:3492],ETV3
ENSG00000160856,NA,NA,FCRL3,protein_coding,Fc receptor like 3 [Source:HGNC Symbol;Acc:HGNC:18506],FCRL3
ENSG00000180708,NA,NA,OR10K2,protein_coding,olfactory receptor family 10 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14826],OR10K2
ENSG00000197403,NA,NA,OR6N1,protein_coding,olfactory receptor family 6 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:15034],OR6N1
ENSG00000177807,NA,NA,KCNJ10,protein_coding,potassium voltage-gated channel subfamily J member 10 [Source:HGNC Symbol;Acc:HGNC:6256],KCNJ10
ENSG00000143315,NA,NA,PIGM,protein_coding,phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858],PIGM
ENSG00000258465,NA,NA,AL139011.2,protein_coding,novel protein,AL139011.2
ENSG00000162739,NA,NA,SLAMF6,protein_coding,SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392],SLAMF6
ENSG00000066294,ENSG00000066294,NA,CD84,protein_coding,CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704],CD84
ENSG00000143226,ENSG00000143226,NA,FCGR2A,protein_coding,Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616],FCGR2A
ENSG00000117152,NA,NA,RGS4,protein_coding,regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000],RGS4
ENSG00000143248,ENSG00000143248,NA,RGS5,protein_coding,regulator of G protein signaling 5 [Source:HGNC Symbol;Acc:HGNC:10001],RGS5
ENSG00000143149,NA,NA,ALDH9A1,protein_coding,aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412],ALDH9A1
