human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000269713,NA,NA,NBPF9,protein_coding,NBPF member 9 [Source:HGNC Symbol;Acc:HGNC:31991],NBPF9
ENSG00000264522,ENSG00000264522,NA,OTUD7B,protein_coding,OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683],OTUD7B
ENSG00000163141,NA,NA,BNIPL,protein_coding,BCL2 interacting protein like [Source:HGNC Symbol;Acc:HGNC:16976],BNIPL
ENSG00000143442,NA,NA,POGZ,protein_coding,pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801],POGZ
ENSG00000225556,NA,NA,C2CD4D,protein_coding,C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210],C2CD4D
ENSG00000159527,NA,NA,PGLYRP3,protein_coding,peptidoglycan recognition protein 3 [Source:HGNC Symbol;Acc:HGNC:30014],PGLYRP3
ENSG00000163218,NA,NA,PGLYRP4,protein_coding,peptidoglycan recognition protein 4 [Source:HGNC Symbol;Acc:HGNC:30015],PGLYRP4
ENSG00000160688,NA,NA,FLAD1,protein_coding,flavin adenine dinucleotide synthetase 1 [Source:HGNC Symbol;Acc:HGNC:24671],FLAD1
ENSG00000160789,NA,NA,LMNA,protein_coding,lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636],LMNA
ENSG00000160781,NA,NA,PAQR6,protein_coding,progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132],PAQR6
ENSG00000158488,NA,NA,CD1E,protein_coding,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638],CD1E
ENSG00000162706,NA,NA,CADM3,protein_coding,cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601],CADM3
ENSG00000158710,NA,NA,TAGLN2,protein_coding,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554],TAGLN2
ENSG00000143217,ENSG00000143217,NA,NECTIN4,protein_coding,nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688],NECTIN4
ENSG00000248485,NA,NA,PCP4L1,protein_coding,Purkinje cell protein 4 like 1 [Source:HGNC Symbol;Acc:HGNC:20448],PCP4L1
ENSG00000143167,NA,NA,GPA33,protein_coding,glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445],GPA33
ENSG00000198771,NA,NA,RCSD1,protein_coding,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310],RCSD1
ENSG00000143153,NA,NA,ATP1B1,protein_coding,ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804],ATP1B1
ENSG00000198797,NA,NA,BRINP2,protein_coding,BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746],BRINP2
ENSG00000186283,NA,NA,TOR3A,protein_coding,torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997],TOR3A
ENSG00000121446,NA,NA,RGSL1,protein_coding,regulator of G protein signaling like 1 [Source:HGNC Symbol;Acc:HGNC:18636],RGSL1
ENSG00000116857,NA,NA,TMEM9,protein_coding,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823],TMEM9
ENSG00000163435,NA,NA,ELF3,protein_coding,E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318],ELF3
ENSG00000117139,NA,NA,KDM5B,protein_coding,lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039],KDM5B
ENSG00000143847,NA,NA,PPFIA4,protein_coding,PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248],PPFIA4
ENSG00000058668,NA,NA,ATP2B4,protein_coding,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],ATP2B4
ENSG00000170382,NA,NA,LRRN2,protein_coding,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914],LRRN2
ENSG00000163531,NA,NA,NFASC,protein_coding,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866],NFASC
ENSG00000263528,NA,NA,IKBKE,protein_coding,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552],IKBKE
ENSG00000162897,NA,NA,FCAMR,protein_coding,Fc fragment of IgA and IgM receptor [Source:HGNC Symbol;Acc:HGNC:24692],FCAMR
ENSG00000174059,NA,NA,CD34,protein_coding,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662],CD34
ENSG00000066027,NA,NA,PPP2R5A,protein_coding,protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309],PPP2R5A
ENSG00000065600,NA,NA,TMEM206,protein_coding,transmembrane protein 206 [Source:HGNC Symbol;Acc:HGNC:25593],TMEM206
ENSG00000117707,NA,NA,PROX1,protein_coding,prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459],PROX1
ENSG00000196482,NA,NA,ESRRG,protein_coding,estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474],ESRRG
ENSG00000117791,NA,NA,MARC2,protein_coding,mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064],MARC2
ENSG00000143819,NA,NA,EPHX1,protein_coding,epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401],EPHX1
ENSG00000163050,NA,NA,COQ8A,protein_coding,coenzyme Q8A [Source:HGNC Symbol;Acc:HGNC:16812],COQ8A
ENSG00000212916,NA,NA,MAP10,protein_coding,microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265],MAP10
ENSG00000186197,NA,NA,EDARADD,protein_coding,EDAR associated death domain [Source:HGNC Symbol;Acc:HGNC:14341],EDARADD
ENSG00000155816,NA,NA,FMN2,protein_coding,formin 2 [Source:HGNC Symbol;Acc:HGNC:14074],FMN2
ENSG00000189292,NA,ENSG00000189292,ALKAL2,protein_coding,ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683],ALKAL2
ENSG00000182551,NA,NA,ADI1,protein_coding,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576],ADI1
ENSG00000119203,NA,NA,CPSF3,protein_coding,cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326],CPSF3
ENSG00000178295,NA,NA,GEN1,protein_coding,"GEN1, Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]",GEN1
ENSG00000157833,NA,NA,GAREM2,protein_coding,GRB2 associated regulator of MAPK1 subtype 2 [Source:HGNC Symbol;Acc:HGNC:27172],GAREM2
ENSG00000138029,NA,NA,HADHB,protein_coding,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803],HADHB
ENSG00000138028,NA,NA,CGREF1,protein_coding,cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962],CGREF1
ENSG00000138074,NA,NA,SLC5A6,protein_coding,solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041],SLC5A6
ENSG00000115207,NA,NA,GTF3C2,protein_coding,general transcription factor IIIC subunit 2 [Source:HGNC Symbol;Acc:HGNC:4665],GTF3C2
ENSG00000115226,NA,NA,FNDC4,protein_coding,fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239],FNDC4
ENSG00000243943,NA,NA,ZNF512,protein_coding,zinc finger protein 512 [Source:HGNC Symbol;Acc:HGNC:29380],ZNF512
ENSG00000171174,NA,NA,RBKS,protein_coding,ribokinase [Source:HGNC Symbol;Acc:HGNC:30325],RBKS
ENSG00000213639,NA,NA,PPP1CB,protein_coding,protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282],PPP1CB
ENSG00000213626,NA,NA,LBH,protein_coding,limb bud and heart development [Source:HGNC Symbol;Acc:HGNC:29532],LBH
ENSG00000021574,NA,NA,SPAST,protein_coding,spastin [Source:HGNC Symbol;Acc:HGNC:11233],SPAST
ENSG00000119820,NA,NA,YIPF4,protein_coding,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145],YIPF4
ENSG00000205221,NA,NA,VIT,protein_coding,vitrin [Source:HGNC Symbol;Acc:HGNC:12697],VIT
ENSG00000003509,NA,NA,NDUFAF7,protein_coding,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],NDUFAF7
ENSG00000163171,NA,NA,CDC42EP3,protein_coding,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943],CDC42EP3
ENSG00000138061,NA,NA,CYP1B1,protein_coding,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597],CYP1B1
ENSG00000188010,NA,NA,MORN2,protein_coding,MORN repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:30166],MORN2
ENSG00000011566,ENSG00000011566,NA,MAP4K3,protein_coding,mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865],MAP4K3
ENSG00000115944,NA,NA,COX7A2L,protein_coding,cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289],COX7A2L
ENSG00000171126,ENSG00000171126,NA,KCNG3,protein_coding,potassium voltage-gated channel modifier subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:18306],KCNG3
ENSG00000170577,NA,NA,SIX2,protein_coding,SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888],SIX2
ENSG00000116016,NA,ENSG00000116016,EPAS1,protein_coding,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374],EPAS1
ENSG00000116062,ENSG00000116062,NA,MSH6,protein_coding,mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329],MSH6
ENSG00000214595,NA,NA,EML6,protein_coding,echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412],EML6
ENSG00000143951,NA,NA,WDPCP,protein_coding,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],WDPCP
ENSG00000198380,NA,NA,GFPT1,protein_coding,glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241],GFPT1
ENSG00000124357,NA,NA,NAGK,protein_coding,N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174],NAGK
ENSG00000135638,NA,NA,EMX1,protein_coding,empty spiracles homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3340],EMX1
ENSG00000214513,NA,NA,NOTO,protein_coding,notochord homeobox [Source:HGNC Symbol;Acc:HGNC:31839],NOTO
ENSG00000159239,NA,NA,AC005041.1,protein_coding,novel transcript,AC005041.1
ENSG00000284308,NA,NA,C2orf81,protein_coding,chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350],C2orf81
ENSG00000115325,NA,NA,DOK1,protein_coding,docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990],DOK1
ENSG00000176204,NA,NA,LRRTM4,protein_coding,leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411],LRRTM4
ENSG00000042493,NA,ENSG00000042493,CAPG,protein_coding,"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]",CAPG
ENSG00000152292,NA,NA,SH2D6,protein_coding,SH2 domain containing 6 [Source:HGNC Symbol;Acc:HGNC:30439],SH2D6
ENSG00000144115,ENSG00000144115,NA,THNSL2,protein_coding,threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602],THNSL2
ENSG00000115041,NA,NA,KCNIP3,protein_coding,potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523],KCNIP3
ENSG00000115446,NA,NA,UNC50,protein_coding,unc-50 inner nuclear membrane RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16046],UNC50
ENSG00000115590,NA,NA,IL1R2,protein_coding,interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994],IL1R2
ENSG00000153165,NA,NA,RGPD3,protein_coding,RANBP2-like and GRIP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:32416],RGPD3
ENSG00000144057,NA,NA,ST6GAL2,protein_coding,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]",ST6GAL2
ENSG00000153201,NA,NA,RANBP2,protein_coding,RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848],RANBP2
ENSG00000136699,NA,NA,SMPD4,protein_coding,sphingomyelin phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:32949],SMPD4
ENSG00000153250,ENSG00000153250,NA,RBMS1,protein_coding,RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907],RBMS1
ENSG00000136560,NA,NA,TANK,protein_coding,TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562],TANK
ENSG00000178662,NA,NA,CSRNP3,protein_coding,cysteine and serine rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729],CSRNP3
ENSG00000128683,NA,NA,GAD1,protein_coding,glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092],GAD1
ENSG00000138449,ENSG00000138449,NA,SLC40A1,protein_coding,solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909],SLC40A1
ENSG00000151690,NA,NA,MFSD6,protein_coding,major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711],MFSD6
ENSG00000115415,NA,NA,STAT1,protein_coding,signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362],STAT1
ENSG00000115520,NA,NA,COQ10B,protein_coding,coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819],COQ10B
ENSG00000115541,NA,NA,HSPE1,protein_coding,heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269],HSPE1
ENSG00000082146,NA,NA,STRADB,protein_coding,STE20-related kinase adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205],STRADB
ENSG00000115457,NA,NA,IGFBP2,protein_coding,insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471],IGFBP2
ENSG00000171450,NA,NA,CDK5R2,protein_coding,cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776],CDK5R2
ENSG00000163516,NA,NA,ANKZF1,protein_coding,ankyrin repeat and zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25527],ANKZF1
ENSG00000188760,NA,NA,TMEM198,protein_coding,transmembrane protein 198 [Source:HGNC Symbol;Acc:HGNC:33704],TMEM198
ENSG00000124006,NA,NA,OBSL1,protein_coding,obscurin like 1 [Source:HGNC Symbol;Acc:HGNC:29092],OBSL1
ENSG00000123999,NA,NA,INHA,protein_coding,inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065],INHA
ENSG00000152056,NA,NA,AP1S3,protein_coding,adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971],AP1S3
ENSG00000187514,NA,NA,PTMA,protein_coding,prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623],PTMA
ENSG00000144535,NA,NA,DIS3L2,protein_coding,DIS3 like 3'-5' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:28648],DIS3L2
ENSG00000221944,NA,NA,TIGD1,protein_coding,tigger transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:14523],TIGD1
ENSG00000167165,NA,ENSG00000167165,UGT1A6,protein_coding,UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538],UGT1A6
ENSG00000185038,NA,NA,MROH2A,protein_coding,maestro heat like repeat family member 2A [Source:HGNC Symbol;Acc:HGNC:27936],MROH2A
ENSG00000130147,NA,NA,SH3BP4,protein_coding,SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826],SH3BP4
ENSG00000124839,NA,NA,RAB17,protein_coding,"RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]",RAB17
ENSG00000178623,NA,NA,GPR35,protein_coding,G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492],GPR35
ENSG00000168397,NA,NA,ATG4B,protein_coding,autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790],ATG4B
ENSG00000134121,ENSG00000134121,NA,CHL1,protein_coding,cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939],CHL1
ENSG00000171148,NA,NA,TADA3,protein_coding,transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422],TADA3
ENSG00000214021,NA,NA,TTLL3,protein_coding,tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483],TTLL3
ENSG00000157017,NA,NA,GHRL,protein_coding,ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129],GHRL
ENSG00000088726,NA,NA,TMEM40,protein_coding,transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620],TMEM40
ENSG00000154783,NA,NA,FGD5,protein_coding,"FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]",FGD5
ENSG00000206560,ENSG00000206560,NA,ANKRD28,protein_coding,ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024],ANKRD28
ENSG00000182568,ENSG00000182568,NA,SATB1,protein_coding,SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541],SATB1
ENSG00000174748,NA,NA,RPL15,protein_coding,ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306],RPL15
ENSG00000151090,NA,NA,THRB,protein_coding,thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799],THRB
ENSG00000114745,NA,NA,GORASP1,protein_coding,golgi reassembly stacking protein 1 [Source:HGNC Symbol;Acc:HGNC:16769],GORASP1
ENSG00000170011,NA,NA,MYRIP,protein_coding,myosin VIIA and Rab interacting protein [Source:HGNC Symbol;Acc:HGNC:19156],MYRIP
ENSG00000187094,NA,NA,CCK,protein_coding,cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569],CCK
ENSG00000114857,NA,NA,NKTR,protein_coding,natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833],NKTR
ENSG00000169981,ENSG00000169981,NA,ZNF35,protein_coding,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099],ZNF35
ENSG00000183625,NA,NA,CCR3,protein_coding,C-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:1604],CCR3
ENSG00000160799,NA,NA,CCDC12,protein_coding,coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332],CCDC12
ENSG00000114646,NA,NA,CSPG5,protein_coding,chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467],CSPG5
ENSG00000114302,NA,NA,PRKAR2A,protein_coding,protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391],PRKAR2A
ENSG00000177479,NA,NA,ARIH2,protein_coding,ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690],ARIH2
ENSG00000178149,NA,NA,DALRD3,protein_coding,DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25536],DALRD3
ENSG00000173421,NA,NA,CCDC36,protein_coding,coiled-coil domain containing 36 [Source:HGNC Symbol;Acc:HGNC:27945],CCDC36
ENSG00000068001,NA,NA,HYAL2,protein_coding,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321],HYAL2
