human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000123080,ENSG00000123080,NA,CDKN2C,protein_coding,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789],CDKN2C
ENSG00000142949,ENSG00000142949,NA,PTPRF,protein_coding,"protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]",PTPRF
ENSG00000163633,ENSG00000163633,NA,C4orf36,protein_coding,chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386],C4orf36
ENSG00000285458,ENSG00000285458,NA,AC093827.5,protein_coding,novel protein,AC093827.5
ENSG00000090615,ENSG00000090615,NA,GOLGA3,protein_coding,golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426],GOLGA3
ENSG00000169919,ENSG00000169919,NA,GUSB,protein_coding,glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696],GUSB
ENSG00000242265,ENSG00000242265,NA,PEG10,protein_coding,paternally expressed 10 [Source:HGNC Symbol;Acc:HGNC:14005],PEG10
,,NA,NA,NA,NA,NA
ENSG00000153814,ENSG00000153814,NA,JAZF1,protein_coding,JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917],JAZF1
ENSG00000239305,ENSG00000239305,NA,RNF103,protein_coding,ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859],RNF103
ENSG00000015475,ENSG00000015475,NA,BID,protein_coding,BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050],BID
ENSG00000111218,ENSG00000111218,NA,PRMT8,protein_coding,protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188],PRMT8
ENSG00000142252,ENSG00000142252,NA,GEMIN7,protein_coding,gem nuclear organelle associated protein 7 [Source:HGNC Symbol;Acc:HGNC:20045],GEMIN7
ENSG00000216588,ENSG00000216588,NA,IGSF23,protein_coding,immunoglobulin superfamily member 23 [Source:HGNC Symbol;Acc:HGNC:40040],IGSF23
ENSG00000105707,ENSG00000105707,NA,HPN,protein_coding,hepsin [Source:HGNC Symbol;Acc:HGNC:5155],HPN
ENSG00000166387,ENSG00000166387,NA,PPFIBP2,protein_coding,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250],PPFIBP2
ENSG00000120265,ENSG00000120265,NA,PCMT1,protein_coding,protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728],PCMT1
ENSG00000185480,ENSG00000185480,NA,PARPBP,protein_coding,PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074],PARPBP
ENSG00000188676,ENSG00000188676,NA,IDO2,protein_coding,"indoleamine 2,3-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:27269]",IDO2
ENSG00000129116,ENSG00000129116,NA,PALLD,protein_coding,"palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]",PALLD
ENSG00000104611,ENSG00000104611,NA,SH2D4A,protein_coding,SH2 domain containing 4A [Source:HGNC Symbol;Acc:HGNC:26102],SH2D4A
ENSG00000151617,ENSG00000151617,NA,EDNRA,protein_coding,endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179],EDNRA
ENSG00000198848,ENSG00000198848,NA,CES1,protein_coding,carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863],CES1
ENSG00000168301,ENSG00000168301,NA,KCTD6,protein_coding,potassium channel tetramerization domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22235],KCTD6
ENSG00000102468,ENSG00000102468,NA,HTR2A,protein_coding,5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293],HTR2A
ENSG00000166682,ENSG00000166682,NA,TMPRSS5,protein_coding,transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908],TMPRSS5
ENSG00000157450,ENSG00000157450,NA,RNF111,protein_coding,ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384],RNF111
ENSG00000213585,ENSG00000213585,NA,VDAC1,protein_coding,voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669],VDAC1
ENSG00000129194,ENSG00000129194,NA,SOX15,protein_coding,SRY-box 15 [Source:HGNC Symbol;Acc:HGNC:11196],SOX15
ENSG00000108590,ENSG00000108590,NA,MED31,protein_coding,mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260],MED31
ENSG00000127774,ENSG00000127774,NA,EMC6,protein_coding,ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430],EMC6
ENSG00000197879,ENSG00000197879,NA,MYO1C,protein_coding,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597],MYO1C
ENSG00000131771,ENSG00000131771,NA,PPP1R1B,protein_coding,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287],PPP1R1B
ENSG00000108342,ENSG00000108342,NA,CSF3,protein_coding,colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438],CSF3
ENSG00000184640,ENSG00000184640,NA,SEPT9,protein_coding,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323],SEPT9
ENSG00000146067,ENSG00000146067,NA,FAM193B,protein_coding,family with sequence similarity 193 member B [Source:HGNC Symbol;Acc:HGNC:25524],FAM193B
ENSG00000196136,ENSG00000196136,NA,SERPINA3,protein_coding,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16],SERPINA3
ENSG00000136237,ENSG00000136237,NA,RAPGEF5,protein_coding,Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862],RAPGEF5
ENSG00000130540,ENSG00000130540,NA,SULT4A1,protein_coding,sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903],SULT4A1
ENSG00000061273,ENSG00000061273,NA,HDAC7,protein_coding,histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067],HDAC7
ENSG00000135447,ENSG00000135447,NA,PPP1R1A,protein_coding,protein phosphatase 1 regulatory inhibitor subunit 1A [Source:HGNC Symbol;Acc:HGNC:9286],PPP1R1A
ENSG00000090447,ENSG00000090447,NA,TFAP4,protein_coding,transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745],TFAP4
ENSG00000099889,ENSG00000099889,NA,ARVCF,protein_coding,"ARVCF, delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]",ARVCF
ENSG00000058866,ENSG00000058866,NA,DGKG,protein_coding,diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853],DGKG
ENSG00000157551,ENSG00000157551,NA,KCNJ15,protein_coding,potassium voltage-gated channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261],KCNJ15
ENSG00000204356,ENSG00000204356,NA,NELFE,protein_coding,negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974],NELFE
ENSG00000114166,ENSG00000114166,NA,KAT2B,protein_coding,lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638],KAT2B
ENSG00000112874,ENSG00000112874,NA,NUDT12,protein_coding,nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826],NUDT12
ENSG00000115295,ENSG00000115295,NA,CLIP4,protein_coding,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108],CLIP4
ENSG00000126500,ENSG00000126500,NA,FLRT1,protein_coding,fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760],FLRT1
ENSG00000165816,ENSG00000165816,NA,VWA2,protein_coding,von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709],VWA2
ENSG00000130338,NA,ENSG00000130338,TULP4,protein_coding,tubby like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530],TULP4
ENSG00000007372,NA,ENSG00000007372,PAX6,protein_coding,paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620],PAX6
ENSG00000170871,NA,ENSG00000170871,KIAA0232,protein_coding,KIAA0232 [Source:HGNC Symbol;Acc:HGNC:28992],KIAA0232
ENSG00000159593,NA,ENSG00000159593,NAE1,protein_coding,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621],NAE1
ENSG00000067369,NA,ENSG00000067369,TP53BP1,protein_coding,tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999],TP53BP1
ENSG00000145349,NA,ENSG00000145349,CAMK2D,protein_coding,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462],CAMK2D
ENSG00000273611,NA,ENSG00000273611,ZNHIT3,protein_coding,zinc finger HIT-type containing 3 [Source:HGNC Symbol;Acc:HGNC:12309],ZNHIT3
ENSG00000099904,NA,ENSG00000099904,ZDHHC8,protein_coding,zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474],ZDHHC8
ENSG00000148399,NA,ENSG00000148399,DPH7,protein_coding,diphthamide biosynthesis 7 [Source:HGNC Symbol;Acc:HGNC:25199],DPH7
ENSG00000081189,NA,ENSG00000081189,MEF2C,protein_coding,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996],MEF2C
ENSG00000125482,NA,ENSG00000125482,TTF1,protein_coding,transcription termination factor 1 [Source:HGNC Symbol;Acc:HGNC:12397],TTF1
ENSG00000175727,NA,ENSG00000175727,MLXIP,protein_coding,MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055],MLXIP
ENSG00000119537,NA,ENSG00000119537,KDSR,protein_coding,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],KDSR
ENSG00000165322,NA,ENSG00000165322,ARHGAP12,protein_coding,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348],ARHGAP12
ENSG00000116117,NA,ENSG00000116117,PARD3B,protein_coding,par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446],PARD3B
ENSG00000225968,NA,ENSG00000225968,ELFN1,protein_coding,extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154],ELFN1
ENSG00000188573,NA,ENSG00000188573,FBLL1,protein_coding,fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458],FBLL1
ENSG00000105202,NA,ENSG00000105202,FBL,protein_coding,fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599],FBL
ENSG00000196850,NA,ENSG00000196850,PPTC7,protein_coding,PTC7 protein phosphatase homolog [Source:HGNC Symbol;Acc:HGNC:30695],PPTC7
ENSG00000204220,NA,ENSG00000204220,PFDN6,protein_coding,prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926],PFDN6
ENSG00000166348,NA,ENSG00000166348,USP54,protein_coding,ubiquitin specific peptidase 54 [Source:HGNC Symbol;Acc:HGNC:23513],USP54
ENSG00000225830,NA,ENSG00000225830,ERCC6,protein_coding,"ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]",ERCC6
ENSG00000149922,NA,ENSG00000149922,TBX6,protein_coding,T-box 6 [Source:HGNC Symbol;Acc:HGNC:11605],TBX6
ENSG00000167792,NA,ENSG00000167792,NDUFV1,protein_coding,NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716],NDUFV1
ENSG00000142408,NA,ENSG00000142408,CACNG8,protein_coding,calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628],CACNG8
ENSG00000177098,NA,ENSG00000177098,SCN4B,protein_coding,sodium voltage-gated channel beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:10592],SCN4B
ENSG00000117877,NA,ENSG00000117877,CD3EAP,protein_coding,CD3e molecule associated protein [Source:HGNC Symbol;Acc:HGNC:24219],CD3EAP
ENSG00000188729,NA,ENSG00000188729,OSTN,protein_coding,osteocrin [Source:HGNC Symbol;Acc:HGNC:29961],OSTN
ENSG00000179213,NA,ENSG00000179213,SIGLECL1,protein_coding,SIGLEC family like 1 [Source:HGNC Symbol;Acc:HGNC:26856],SIGLECL1
ENSG00000196531,NA,ENSG00000196531,NACA,protein_coding,nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629],NACA
ENSG00000125347,NA,ENSG00000125347,IRF1,protein_coding,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116],IRF1
ENSG00000144810,NA,ENSG00000144810,COL8A1,protein_coding,collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215],COL8A1
